ALL MODIFIERS-------------------------------------	WEAR	TOTL	ITEM	PASS	SPEL		PASSIVE			SPELLTYPE
Critical Damage		CRD	CRITDAMAGE	1	AE	300	170	80	50		O Brute 		
Archery Damage %	ACC	ARCHERYDAMAGE	128	AE	120	20	100	0		O Archer
Staff MagicDamage %	STD	STAFFMAGIC	129	/	200	50	100	50		M Arcane
Wand MagicDamage %	WND	WANDMAGIC	130	/	200	50	100	50		M Mystic
Undead Protection	UNP	UNDEADPROT	131	AER 	30	10	10	10		D Living
Demon Protection	DMP	DEMONPROT	132	AER 	30	10	10	10		D Prayer
Beast Protection	BBP	BEASTPROT	133	AER 	30	10	10	10		D Hunter
Berserk			BRK	BERSERK		134	A	300	100 	100 	100		O Hostile
Health Potion %		HPP	HEALTHPOTION	135	AER	120	40	40	40		N Elixer
Mana Potion %		MPI	MANAPOTION	136	AER	120	40	40	40		N Elixer
Perception		PER	PERCEPTION	137	E	3000	1000	1000	1000		N Vision
Riposte			RIP	RIPOSTE		138	AE	3000	1000	1000	1000		D Fencing
Bandage			BAN	BANDAGE		139	AER	3000	1000	1000	1000		N Surgeon
Increase Armor		INA	INCARMOR	140	A	300	100	100	100		D Safeguard
Increase Resist		IRR	INCRESIST	141	R	300	100	100	100		D Rejection
Increase Evasion	INE	INCEVASION	142	E	300	100	100	100		D Avoidance
Smith Req %		SMR	SMITHREQ	143	/	50	0	25	0		N Blacksmith
Alchemy Req %		ALR	ALCHEMYREQ	144	/	50	0	25	0		N Alchemist
MagicCraft Req %	MCR	MAGICCRAFTREQ	145	/	50	0	25	0		N Workmanship
Forest Zone Damage	DMF	FORESTDAMAGE	146	D	30	15	15	0		N Woodsman 		X15
Desert Zone Damage	DZD	DESERTDAMAGE	147	D	30	15	15	0		N Nomad 		X15
Jungle Zone Damage	DMJ	JUNGLEDAMAGE	148	D	30	15	15	0		N Tribesman 		X15
Snow Zone Damage	DMS	SNOWDAMAGE	149	D	30	15	15	0		N Vagabond 		X15
Lava Zone Damage	DML	LAVADAMAGE	150	D	30	15	15	0		N Wanderer 		X15
Arcane Zone Damage 	DMA	ARCANEDAMAGE	151	D	30	15	15	0		N Transient 		X15
Spell Inturupt		SPI	SPELLINTURUPT	152	R	60	20	20	20		M Ignore 		X20
Agg Def			AGD	AGGDEFF		153	/	30	0	0	30		/
Aggressiveness		AGG	AGGRESSIVE	154	/	300	0	0	300		/
Shield Bonus		SHB	SHIELDBONUS	155	AER	90	30	30	30		D Blackguard 		X30
Spell Vulnerability	SPV	SPELLVUL	156	/	/	/	/	/		/
Physical Vulnerablity	PSV	PHYSVUL		157	/	/	/	/	/		/
Health to Damage	HTD	HEALTHDAMAGE	158	/	3	0	3	0		O 
Mana to Magic Damage	MTD	MANAMAGIC	159	/	3	0	3	0		M 
Mana Blood %		DTM	DAMAGEMANA	160	/	30	0	30	0		M Mana Blood 		X30
Blood Magic %		BLL	BLOODMAGIC	161	/	30	0	30	0		M Blood Magic 		X30
Spell Crit		SPX	SPELLCRIT	162	R	50	20	20	10		M Sorcerer 		X20
Avoid Spell Crit	SAX	AVOIDSPCRIT	163	R	50	20	20 	10		D Hinder 		X20
Evasion			EVV	EVASION		164	E	3100	1100	1000	1000		D Assassin		
UU_Increase Evasion %	IEV	INCEVASION%	165	E	300	100	100	100		D Hitman ---------------------------------------------------------------
SpellVamp %		VMP	SPELLVAMP	166	R	30	10 	10	10		M Vampire
Block Ammount		BLA	BLOCKAMMOUNT	167	S	3000	2500	250	250		D Redguard
Block Recovery		BLR	BLOCKRECOVERY	168	AE	90	30	30	30		D
SpellBlock Ammount	SBA	SPLBLOCKAMM	169	S 	3000	2500	250	250		D
SpellBlock Recovery	SBR	SPLBLOCKREC	170	AER	90	30	30	30		D
Stun Recovery		STN	STUNRECOVER	171	AER	90	30	30	30		D
Spell Crit Damage	SPD	SPCRITDAMAGE	172	R	300	100	100	100		M
Melee Type Damage %	MED	MELEEDAMAGE%	173	AER	30	10	10	10		O Devistator
#######################################################################################################################################
Reduce Mana Cost	AMC	MANACOST 	174	R	50	20	20	10
Cooldown Reduction	COO	COOLDOWN	175	R	50	20	20	10
Socket			SOK	SOCKET		176	AER	/	/	/	/
Spell Base Damage	SPP	SPELLBASE	178	W	5000	5000	0	0
Accuracy		ACY	ACCURACY	179	AEW	690	345	172	172
Spell Accuracy		SAC	SPELLACCURACY	180	RW	690	345	172	172
#######################################################################################################################################
Damage Type Fire	DDF	DDFIRE		181	W	/	/	/	/
Damage Type Cold	DDC	DDCOLD		182	W 	/	/	/	/
Damage Type Poison	DDP	DDPOISON	183	W	/	/	/	/
Damage Type Energy	DDE	DDENERGY	184	W	/	/	/	/
Damage Type Arcane	DDA	DDARCANE	185	W	/	/	/	/
#######################################################################################################################################
2 Hand Weapon Damage	THW	TWOHANDDMG	186	/	30	/	30	/
#######################################################################################################################################	
Forest Protection	PRF	FORESTPROT	187	/	10	/	10	/
Desert Protection	PRD	DESERTPROT	188	/	10	/	10	/
Jungle Protection	PRJ	JUNGLEPROT	189	/	10	/	10	/
Snow   Protection	PRS	SNOWPROT	190	/	10	/	10	/
Lava   Protection	PRL	LAVAPROT	191	/	10	/	10	/
Arcane Protection	PRX	ARCANEPROT	192	/	10	/	10	/
#######################################################################################################################################
Goblin Explode		GOB	GOBEXPLODE	193	/	/	/	/	/
Lightning Storm		LLL	LOWSTORM	194	/	/	/	/	/
Cannot Be Chilled	NOC	NOCHILL		195	/	/	/	/	/	
Cannot Be Shocked	NOS	NOSHOCK		196	/	/	/	/	/
Cannot Be Burned	NOB	NOBURN		197	/	/	/	/	/
Cannot Be Stunned	NOX	NOSTUN		198	/	/	/	/	/
Cannot Be Poisoned	NOP	NOPOISON	199	/	/	/	/	/
#######################################################################################################################################
Bow Damage		BOW	BOWDAMAGE	200	/	/	/	/	15
Crossbow Damage		XBO	XBOWDAMAGE	201	/	/	/	/	15
Anger			ANG	ANGER		202	/	/	/	/	3000
Physical Base Damage	PBD	PHYSBASE	203	/	/	/	/	1000
Chill On Hit		CHH	CHILLONHIT	204	/	/	/	/	/
Max Minions		MXX	MAXMINIONS	205	/	2	1	1	/
Take More Crit		TTC	TAKECRIT	206	/	/	/	/	75
Take More Crit Damage	TTD	TAKECRITDAMAGE	207	/	/	/	/	75
Take More Phys Damage	TTP	TAKEPHYSDAMAGE	208	/	/	/	/	500
Max Cooldown		MXC	MAXCOOLDOWN	209	/	/	/	/	90

